STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX
USW00094789,40.63915,-73.7639,2.7,5/3/10,80
USW00094789,40.63915,-73.7639,2.7,5/4/10,81
USW00094789,40.63915,-73.7639,2.7,5/5/10,75
USW00094789,40.63915,-73.7639,2.7,5/6/10,80
USW00094789,40.63915,-73.7639,2.7,5/7/10,68
USW00094789,40.63915,-73.7639,2.7,5/8/10,78
USW00094789,40.63915,-73.7639,2.7,5/9/10,56
USW00094789,40.63915,-73.7639,2.7,5/10/10,62
USW00094789,40.63915,-73.7639,2.7,5/11/10,57
USW00094789,40.63915,-73.7639,2.7,5/12/10,49
USW00094789,40.63915,-73.7639,2.7,5/13/10,63
USW00094789,40.63915,-73.7639,2.7,5/14/10,77
USW00094789,40.63915,-73.7639,2.7,5/15/10,75
USW00094789,40.63915,-73.7639,2.7,5/16/10,74
USW00094789,40.63915,-73.7639,2.7,5/17/10,75
USW00094789,40.63915,-73.7639,2.7,5/18/10,59
USW00094789,40.63915,-73.7639,2.7,5/19/10,67
USW00094789,40.63915,-73.7639,2.7,5/20/10,72
USW00094789,40.63915,-73.7639,2.7,5/21/10,85
USW00094789,40.63915,-73.7639,2.7,5/22/10,70
USW00094789,40.63915,-73.7639,2.7,5/23/10,73
USW00094789,40.63915,-73.7639,2.7,5/24/10,73
USW00094789,40.63915,-73.7639,2.7,5/25/10,74
USW00094789,40.63915,-73.7639,2.7,5/26/10,91
USW00094789,40.63915,-73.7639,2.7,5/27/10,84
USW00094789,40.63915,-73.7639,2.7,5/28/10,68
USW00094789,40.63915,-73.7639,2.7,5/29/10,70
USW00094789,40.63915,-73.7639,2.7,5/30/10,88
USW00094789,40.63915,-73.7639,2.7,5/31/10,84
USW00094789,40.63915,-73.7639,2.7,6/1/10,87
USW00094789,40.63915,-73.7639,2.7,6/2/10,81
USW00094789,40.63915,-73.7639,2.7,6/3/10,88
USW00094789,40.63915,-73.7639,2.7,6/4/10,88
USW00094789,40.63915,-73.7639,2.7,6/5/10,90
USW00094789,40.63915,-73.7639,2.7,6/6/10,89
USW00094789,40.63915,-73.7639,2.7,6/7/10,79
USW00094789,40.63915,-73.7639,2.7,6/8/10,76
USW00094789,40.63915,-73.7639,2.7,6/9/10,68
USW00094789,40.63915,-73.7639,2.7,6/10/10,75
USW00094789,40.63915,-73.7639,2.7,6/11/10,71
USW00094789,40.63915,-73.7639,2.7,6/12/10,74
USW00094789,40.63915,-73.7639,2.7,6/13/10,80
USW00094789,40.63915,-73.7639,2.7,6/14/10,74
USW00094789,40.63915,-73.7639,2.7,6/15/10,79
USW00094789,40.63915,-73.7639,2.7,6/16/10,74
USW00094789,40.63915,-73.7639,2.7,6/17/10,78
USW00094789,40.63915,-73.7639,2.7,6/18/10,83
USW00094789,40.63915,-73.7639,2.7,6/19/10,77
USW00094789,40.63915,-73.7639,2.7,6/20/10,91
USW00094789,40.63915,-73.7639,2.7,6/21/10,91
USW00094789,40.63915,-73.7639,2.7,6/22/10,84
USW00094789,40.63915,-73.7639,2.7,6/23/10,94
USW00094789,40.63915,-73.7639,2.7,6/24/10,97
USW00094789,40.63915,-73.7639,2.7,6/25/10,85
USW00094789,40.63915,-73.7639,2.7,6/26/10,91
USW00094789,40.63915,-73.7639,2.7,6/27/10,87
USW00094789,40.63915,-73.7639,2.7,6/28/10,98
USW00094789,40.63915,-73.7639,2.7,6/29/10,93
USW00094789,40.63915,-73.7639,2.7,6/30/10,81
USW00094789,40.63915,-73.7639,2.7,7/1/10,81
USW00094789,40.63915,-73.7639,2.7,7/2/10,83
USW00094789,40.63915,-73.7639,2.7,7/3/10,87
USW00094789,40.63915,-73.7639,2.7,7/4/10,101
USW00094789,40.63915,-73.7639,2.7,7/5/10,97
USW00094789,40.63915,-73.7639,2.7,7/6/10,101
USW00094789,40.63915,-73.7639,2.7,7/7/10,100
USW00094789,40.63915,-73.7639,2.7,7/8/10,87
USW00094789,40.63915,-73.7639,2.7,7/9/10,87
USW00094789,40.63915,-73.7639,2.7,7/10/10,83
USW00094789,40.63915,-73.7639,2.7,7/11/10,90
USW00094789,40.63915,-73.7639,2.7,7/12/10,90
USW00094789,40.63915,-73.7639,2.7,7/13/10,83
USW00094789,40.63915,-73.7639,2.7,7/14/10,82
USW00094789,40.63915,-73.7639,2.7,7/15/10,86
USW00094789,40.63915,-73.7639,2.7,7/16/10,87
USW00094789,40.63915,-73.7639,2.7,7/17/10,93
USW00094789,40.63915,-73.7639,2.7,7/18/10,95
USW00094789,40.63915,-73.7639,2.7,7/19/10,88
USW00094789,40.63915,-73.7639,2.7,7/20/10,89
USW00094789,40.63915,-73.7639,2.7,7/21/10,90
USW00094789,40.63915,-73.7639,2.7,7/22/10,91
USW00094789,40.63915,-73.7639,2.7,7/23/10,84
USW00094789,40.63915,-73.7639,2.7,7/24/10,97
USW00094789,40.63915,-73.7639,2.7,7/25/10,93
USW00094789,40.63915,-73.7639,2.7,7/26/10,89
USW00094789,40.63915,-73.7639,2.7,7/27/10,90
USW00094789,40.63915,-73.7639,2.7,7/28/10,86
USW00094789,40.63915,-73.7639,2.7,7/29/10,87
USW00094789,40.63915,-73.7639,2.7,7/30/10,80
USW00094789,40.63915,-73.7639,2.7,7/31/10,81
USW00094789,40.63915,-73.7639,2.7,8/1/10,80
USW00094789,40.63915,-73.7639,2.7,8/2/10,81
USW00094789,40.63915,-73.7639,2.7,8/3/10,83
USW00094789,40.63915,-73.7639,2.7,8/4/10,85
USW00094789,40.63915,-73.7639,2.7,8/5/10,96
USW00094789,40.63915,-73.7639,2.7,8/6/10,91
USW00094789,40.63915,-73.7639,2.7,8/7/10,83
USW00094789,40.63915,-73.7639,2.7,8/8/10,86
USW00094789,40.63915,-73.7639,2.7,8/9/10,87
USW00094789,40.63915,-73.7639,2.7,8/10/10,89
USW00094789,40.63915,-73.7639,2.7,8/11/10,93
USW00094789,40.63915,-73.7639,2.7,8/12/10,76
USW00094789,40.63915,-73.7639,2.7,8/13/10,80
USW00094789,40.63915,-73.7639,2.7,8/14/10,78
USW00094789,40.63915,-73.7639,2.7,8/15/10,79
USW00094789,40.63915,-73.7639,2.7,8/16/10,84
USW00094789,40.63915,-73.7639,2.7,8/17/10,90
USW00094789,40.63915,-73.7639,2.7,8/18/10,81
USW00094789,40.63915,-73.7639,2.7,8/19/10,86
USW00094789,40.63915,-73.7639,2.7,8/20/10,92
USW00094789,40.63915,-73.7639,2.7,8/21/10,83
USW00094789,40.63915,-73.7639,2.7,8/22/10,79
USW00094789,40.63915,-73.7639,2.7,8/23/10,71
USW00094789,40.63915,-73.7639,2.7,8/24/10,70
USW00094789,40.63915,-73.7639,2.7,8/25/10,70
USW00094789,40.63915,-73.7639,2.7,8/26/10,84
USW00094789,40.63915,-73.7639,2.7,8/27/10,80
USW00094789,40.63915,-73.7639,2.7,8/28/10,83
USW00094789,40.63915,-73.7639,2.7,8/29/10,93
USW00094789,40.63915,-73.7639,2.7,8/30/10,92
USW00094789,40.63915,-73.7639,2.7,8/31/10,97
USW00094789,40.63915,-73.7639,2.7,9/1/10,92
USW00094789,40.63915,-73.7639,2.7,9/2/10,86
USW00094789,40.63915,-73.7639,2.7,9/3/10,85
USW00094789,40.63915,-73.7639,2.7,9/4/10,82
